"ID";"Quantité"
"2600662";"9"
"2387346";"50"
"2388985";"16"
"2390430";"0"
"2459110";"0"
"2600245";"0"
"2230352";"20"
"2387326";"30"
"2424050";"0"
"2510579";"17"
"2700338";"0"
"2202018";"20"
"2381705";"30"
"2391955";"21"
"2510305";"50"
"2600666";"47"
"2024539";"50"
"2256200";"31"
"2391220";"37"
"2459230";"50"
"2600318";"53"
"2230518";"21"
"2387466";"48"
"2429315";"49"
"2510604";"50"
"2700363";"50"
"2202033";"16"
"2381745";"31"
"2392004";"30"
"2510345";"50"
"2611150";"0"
"2024601";"20"
"2291400";"36"
"2391315";"7"
"2476250";"26"
"2600425";"0"
"2024201";"20"
"2388975";"22"
"2429860";"30"
"2510711";"50"
"2700371";"50"
"2202073";"18"
"2381785";"24"
"2392016";"29"
"2510420";"0"
"2628250";"0"
"2024656";"20"
"2381405";"25"
"2391455";"17"
"2510030";"0"
"2600510";"0"
"2024256";"20"
"2230631";"29"
"2389950";"4"
"2429925";"30"
"2700805";"50"
"2202088";"19"
"2381825";"20"
"2392032";"29"
"2510460";"36"
"2634850";"0"
"2100504";"14"
"2381445";"29"
"2391575";"0"
"2510070";"12"
"2600615";"45"
"2024311";"20"
"2230702";"80"
"2390000";"30"
"2429940";"28"
"2797706";"8"
"2204005";"9"
"2386830";"13"
"2392044";"23"
"2510496";"0"
"2640500";"0"
"2100544";"12"
"2381485";"23"
"2391715";"0"
"2510145";"0"
"2600624";"7"
"2024387";"20"
"2230756";"99"
"2390065";"50"
"2437500";"28"
"2586449";"24"
"2204049";"15"
"2386955";"0"
"2392055";"26"
"2510535";"50"
"2700225";"0"
"2122200";"15"
"2381625";"19"
"2391855";"30"
"2510210";"0"
"2600636";"19"
"2024435";"20"
"2237702";"25"
"2390150";"18"
"2439110";"0"
"2586784";"20"
"2230301";"26"
"2386971";"30"
"2423010";"22"
"2510570";"40"
"2700280";"0"
"2157800";"1"
"2381665";"26"
"2391905";"30"
"2510255";"22"
"2600653";"4"
"2024491";"50"
"2240249";"20"
"2381680";"31"
"2391920";"0"
"2510270";"0"
"2600660";"11"
"2024504";"29"
"2240284";"30"
"2391000";"38"
"2459205";"18"
"2600307";"64"
"2425620";"53"
"2510582";"50"
"2700351";"30"
"2202026";"15"
"2381720";"31"
"2391980";"0"
"2510320";"50"
"2600669";"46"
"2024584";"20"
"2391250";"47"
"2600327";"0"
"2230531";"29"
"2388935";"50"
"2429810";"48"
"2510701";"50"
"2700366";"30"
"2202049";"14"
"2381760";"0"
"2392011";"30"
"2510375";"50"
"2627800";"0"
"2024614";"0"
"2361005";"30"
"2391365";"12"
"2510006";"0"
"2600455";"0"
"2024214";"0"
"2230602";"19"
"2388990";"27"
"2429890";"20"
"2511220";"0"
"2700374";"50"
"2202083";"12"
"2381800";"9"
"2392023";"8"
"2510435";"50"
"2630250";"32"
"2024690";"30"
"2381420";"28"
"2391505";"0"
"2510045";"0"
"2600525";"0"
"2024290";"50"
"2230656";"20"
"2389975";"50"
"2429932";"28"
"2796200";"31"
"2202092";"17"
"2381840";"20"
"2392035";"29"
"2510475";"30"
"2635650";"0"
"2100514";"19"
"2381460";"45"
"2391625";"11"
"2510115";"40"
"2600618";"49"
"2024337";"50"
"2230725";"38"
"2390025";"50"
"2432130";"24"
"2900802";"0"
"2204026";"17"
"2386905";"0"
"2392050";"25"
"2510510";"0"
"2642350";"0"
"2100556";"18"
"2381600";"15"
"2391765";"0"
"2510160";"0"
"2600630";"19"
"2024400";"20"
"2237300";"30"
"2390100";"50"
"2437800";"21"
"2586556";"10"
"2204081";"15"
"2386962";"42"
"2399020";"22"
"2510541";"15"
"2700250";"0"
"2127600";"16"
"2381640";"29"
"2391880";"0"
"2510230";"20"
"2600642";"38"
"2024441";"20"
"2240214";"27"
"2390180";"27"
"2452455";"18"
"2600205";"0"
"2230318";"20"
"2386974";"30"
"2423040";"36"
"2510574";"50"
"2700315";"50"
"2202004";"13"
"2230331";"18"
"2387316";"45"
"2423850";"0"
"2510577";"16"
"2700330";"30"
"2202014";"15"
"2381695";"29"
"2391935";"29"
"2510285";"34"
"2600664";"10"
"2024535";"20"
"2253400";"36"
"2459220";"50"
"2600316";"74"
"2230502";"26"
"2387456";"43"
"2425650";"42"
"2510602";"50"
"2700361";"50"
"2202031";"16"
"2381735";"33"
"2392002";"30"
"2510335";"50"
"2600715";"15"
"2024591";"50"
"2291210";"51"
"2391290";"36"
"2476230";"42"
"2600415";"0"
"2230556";"30"
"2388965";"50"
"2429840";"50"
"2510704";"50"
"2700369";"50"
"2202056";"16"
"2381775";"21"
"2392014";"30"
"2510410";"0"
"2627860";"0"
"2024639";"30"
"2361020";"25"
"2391415";"31"
"2510020";"0"
"2600480";"0"
"2024239";"50"
"2230625";"30"
"2389940";"2"
"2429915";"29"
"2700710";"0"
"2202086";"16"
"2381815";"13"
"2392026";"16"
